tensor(9.1000, device='cuda:0') tensor(11.5000, device='cuda:0') tensor(10.5000, device='cuda:0')
tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0')
tensor(9.1000, device='cuda:0') tensor(11.7000, device='cuda:0') tensor(10.5000, device='cuda:0')
tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0')
tensor(9.2000, device='cuda:0') tensor(9.2000, device='cuda:0') tensor(10., device='cuda:0')
tensor(9.4000, device='cuda:0') tensor(9., device='cuda:0') tensor(10.2000, device='cuda:0')
tensor(9.3000, device='cuda:0') tensor(8.9000, device='cuda:0') tensor(10.3000, device='cuda:0')
tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0')
tensor(9.5000, device='cuda:0') tensor(8.9000, device='cuda:0') tensor(10.3000, device='cuda:0')
tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0')
